"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_KEYPAD_HINT","Наберіть частоту, тоді НАЛАШТУВАТИ","Type a frequency, then TUNE","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ","Наберіть частоту, тоді НАЛАШТУВАТИ",
"STR_OZR_KEYPAD_OUT","Поза діапазоном цієї рації","Outside this set's band","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації",
"STR_OZR_PTT_LIVE","В ЕФIРI","ON AIR","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI",
"STR_OZR_PTT_LOCK","ЗАБЛОКОВАНО","LOCKED","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО",
"STR_OZR_RADIO_250","Рація OZ-COM Шептун","OZ-COM Sheptun radio","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун","Рація OZ-COM Шептун",
"STR_OZR_RADIO_2000","Рація OZ-COM Скриня","OZ-COM Skrynia radio","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня","Рація OZ-COM Скриня",
"STR_OZR_RADIO_10000","Рація OZ-COM Кристал","OZ-COM Crystal radio","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал","Рація OZ-COM Кристал",
"oz_input_radio_ptt","Рація: натиснути й говорити","Radio: push to talk","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити",
"oz_input_group","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone",
"STR_OZR_TOAST_TITLE","Рація","Radio","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація",
"STR_OZR_NOT_INIT","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Radio not initialised: the server sent no frequency grid","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.",
"STR_OZR_ERR_NO_RADIO_HANDS","У руках немає нічого, що вміє передавати.","Nothing in hands that can transmit","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.",
"STR_OZR_ERR_SWITCHED_OFF","Рацію вимкнено.","The radio is switched off","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.",
"STR_OZR_ERR_NO_OVERLAP","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","This set's band lies outside the running ether - the server needs a restart","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.",
"STR_OZR_ERR_OFF_STEP_SET","Між каналами цієї рації","Between this set's channels","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації",
"STR_OZR_KEYPAD_TUNE","НАЛАШТУВАТИ","TUNE","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ","НАЛАШТУВАТИ",
"STR_OZR_HINT_STEP","Стрілки: попередній / наступний канал","Arrows: previous / next channel","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал","Стрілки: попередній / наступний канал",
"STR_OZR_HINT_MENU","Наберіть частоту, тоді MENU","Type a frequency, then MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU","Наберіть частоту, тоді MENU",
"STR_OZR_HINT_ENTER","Наберіть частоту, тоді ввід (праворуч)","Type a frequency, then enter (right)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)","Наберіть частоту, тоді ввід (праворуч)",
"STR_OZR_HINT_ENT","Наберіть частоту, тоді ENT","Type a frequency, then ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT","Наберіть частоту, тоді ENT",
"STR_OZR_RADIO_100","Рація (100 м)","Radio (100 m)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)",
"STR_OZR_RADIO_200","Рація (200 м)","Radio (200 m)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)",
"STR_OZR_RADIO_DESC","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","A handheld transceiver. How far it carries and how finely it tunes are printed on the case - the cheap sets are stuck in the crowded middle of the band, the good ones reach past where the cheap ones can hear.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.",
"STR_OZR_RADIO_50","Рація (50 м)","Radio (50 m)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)",
"STR_OZR_RADIO_750","Рація (750 м)","Radio (750 m)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)",
